"Date","RainTomorrow","rpart"
"2008-06-01","No","No"
"2008-09-15","Yes","No"
"2008-02-23","No","No"
"2008-08-22","No","No"
"2008-09-27","No","No"
"2008-04-07","No","No"
"2007-12-25","No","No"
"2008-10-12","No","No"
"2008-06-04","No","No"
"2008-05-01","No","No"
"2008-04-24","No","No"
"2008-10-26","No","Yes"
"2008-04-15","No","No"
"2008-08-13","No","No"
"2008-09-26","No","No"
"2008-08-14","No","No"
"2008-09-28","No","No"
"2007-12-11","No","No"
"2008-03-20","No","No"
"2007-11-22","Yes","Yes"
"2007-12-14","No","No"
"2008-01-04","No","No"
"2008-08-24","No","No"
"2007-12-26","No","No"
"2008-05-14","No","No"
"2008-01-25","No","No"
"2008-05-30","No","No"
"2008-03-03","No","No"
"2007-11-24","No","No"
"2008-04-16","No","No"
"2008-04-02","Yes","Yes"
"2008-05-18","No","No"
"2008-02-18","No","No"
"2008-10-15","No","No"
"2008-10-25","No","No"
"2008-02-02","No","No"
"2008-09-14","Yes","Yes"
"2008-05-09","No","No"
"2008-04-25","No","No"
"2008-02-03","Yes","No"
"2008-02-27","No","No"
"2007-12-08","No","No"
"2008-07-07","Yes","No"
"2008-10-30","No","No"
"2008-10-06","Yes","No"
"2007-12-20","Yes","Yes"
"2008-05-22","No","No"
"2008-03-17","No","No"
"2008-10-05","No","No"
"2008-01-24","No","No"
"2007-11-23","No","Yes"
"2008-04-03","No","No"
"2007-11-02","Yes","No"
"2007-11-28","No","No"
